MMDD,HH,2022,2023,2024,Average
0101,1,0.0,0.0,0.0,0.0
0101,2,0.0,0.0,0.0,0.0
0101,3,0.0,0.0,0.0,0.0
0101,4,0.0,0.0,0.0,0.0
0101,5,0.0,0.0,0.0,0.0
0101,6,0.0,0.0,0.0,0.0
0101,7,0.0,0.0,0.0,0.0
0101,8,1.0,1.0,0.0,0.6666666666666666
0101,9,14.0,8.0,3.0,8.333333333333334
0101,10,27.0,34.0,10.0,23.666666666666668
0101,11,38.0,46.0,35.0,39.666666666666664
0101,12,53.0,35.0,38.0,42.0
0101,13,38.0,37.0,20.0,31.666666666666668
0101,14,36.0,22.0,26.0,28.0
0101,15,11.0,11.0,9.0,10.333333333333334
0101,16,2.0,2.0,1.0,1.6666666666666667
0101,17,0.0,0.0,0.0,0.0
0101,18,0.0,0.0,0.0,0.0
0101,19,0.0,0.0,0.0,0.0
0101,20,0.0,0.0,0.0,0.0
0101,21,0.0,0.0,0.0,0.0
0101,22,0.0,0.0,0.0,0.0
0101,23,0.0,0.0,0.0,0.0
0101,24,0.0,0.0,0.0,0.0
0102,1,0.0,0.0,0.0,0.0
0102,2,0.0,0.0,0.0,0.0
0102,3,0.0,0.0,0.0,0.0
0102,4,0.0,0.0,0.0,0.0
0102,5,0.0,0.0,0.0,0.0
0102,6,0.0,0.0,0.0,0.0
0102,7,0.0,0.0,0.0,0.0
0102,8,1.0,1.0,0.0,0.6666666666666666
0102,9,5.0,4.0,8.0,5.666666666666667
0102,10,34.0,16.0,20.0,23.333333333333332
0102,11,22.0,38.0,12.0,24.0
0102,12,18.0,44.0,8.0,23.333333333333332
0102,13,32.0,23.0,9.0,21.333333333333332
0102,14,46.0,11.0,8.0,21.666666666666668
0102,15,9.0,11.0,2.0,7.333333333333333
0102,16,3.0,1.0,0.0,1.3333333333333333
0102,17,0.0,0.0,0.0,0.0
0102,18,0.0,0.0,0.0,0.0
0102,19,0.0,0.0,0.0,0.0
0102,20,0.0,0.0,0.0,0.0
0102,21,0.0,0.0,0.0,0.0
0102,22,0.0,0.0,0.0,0.0
0102,23,0.0,0.0,0.0,0.0
0102,24,0.0,0.0,0.0,0.0
0103,1,0.0,0.0,0.0,0.0
0103,2,0.0,0.0,0.0,0.0
0103,3,0.0,0.0,0.0,0.0
0103,4,0.0,0.0,0.0,0.0
0103,5,0.0,0.0,0.0,0.0
0103,6,0.0,0.0,0.0,0.0
0103,7,0.0,0.0,0.0,0.0
0103,8,1.0,1.0,0.0,0.6666666666666666
0103,9,8.0,6.0,5.0,6.333333333333333
0103,10,28.0,11.0,8.0,15.666666666666666
0103,11,55.0,13.0,21.0,29.666666666666668
0103,12,39.0,16.0,25.0,26.666666666666668
0103,13,23.0,26.0,32.0,27.0
0103,14,11.0,28.0,14.0,17.666666666666668
0103,15,13.0,11.0,6.0,10.0
0103,16,2.0,3.0,1.0,2.0
0103,17,0.0,0.0,0.0,0.0
0103,18,0.0,0.0,0.0,0.0
0103,19,0.0,0.0,0.0,0.0
0103,20,0.0,0.0,0.0,0.0
0103,21,0.0,0.0,0.0,0.0
0103,22,0.0,0.0,0.0,0.0
0103,23,0.0,0.0,0.0,0.0
0103,24,0.0,0.0,0.0,0.0
0104,1,0.0,0.0,0.0,0.0
0104,2,0.0,0.0,0.0,0.0
0104,3,0.0,0.0,0.0,0.0
0104,4,0.0,0.0,0.0,0.0
0104,5,0.0,0.0,0.0,0.0
0104,6,0.0,0.0,0.0,0.0
0104,7,0.0,0.0,0.0,0.0
0104,8,0.0,1.0,0.0,0.3333333333333333
0104,9,4.0,2.0,5.0,3.6666666666666665
0104,10,15.0,7.0,8.0,10.0
0104,11,21.0,8.0,22.0,17.0
0104,12,32.0,15.0,45.0,30.666666666666668
0104,13,47.0,34.0,30.0,37.0
0104,14,14.0,29.0,14.0,19.0
0104,15,19.0,10.0,12.0,13.666666666666666
0104,16,3.0,2.0,3.0,2.6666666666666665
0104,17,0.0,0.0,0.0,0.0
0104,18,0.0,0.0,0.0,0.0
0104,19,0.0,0.0,0.0,0.0
0104,20,0.0,0.0,0.0,0.0
0104,21,0.0,0.0,0.0,0.0
0104,22,0.0,0.0,0.0,0.0
0104,23,0.0,0.0,0.0,0.0
0104,24,0.0,0.0,0.0,0.0
0105,1,0.0,0.0,0.0,0.0
0105,2,0.0,0.0,0.0,0.0
0105,3,0.0,0.0,0.0,0.0
0105,4,0.0,0.0,0.0,0.0
0105,5,0.0,0.0,0.0,0.0
0105,6,0.0,0.0,0.0,0.0
0105,7,0.0,0.0,0.0,0.0
0105,8,1.0,1.0,0.0,0.6666666666666666
0105,9,3.0,8.0,4.0,5.0
0105,10,7.0,21.0,6.0,11.333333333333334
0105,11,12.0,27.0,9.0,16.0
0105,12,20.0,50.0,10.0,26.666666666666668
0105,13,28.0,49.0,3.0,26.666666666666668
0105,14,38.0,26.0,9.0,24.333333333333332
0105,15,8.0,14.0,5.0,9.0
0105,16,2.0,3.0,1.0,2.0
0105,17,0.0,0.0,0.0,0.0
0105,18,0.0,0.0,0.0,0.0
0105,19,0.0,0.0,0.0,0.0
0105,20,0.0,0.0,0.0,0.0
0105,21,0.0,0.0,0.0,0.0
0105,22,0.0,0.0,0.0,0.0
0105,23,0.0,0.0,0.0,0.0
0105,24,0.0,0.0,0.0,0.0
0106,1,0.0,0.0,0.0,0.0
0106,2,0.0,0.0,0.0,0.0
0106,3,0.0,0.0,0.0,0.0
0106,4,0.0,0.0,0.0,0.0
0106,5,0.0,0.0,0.0,0.0
0106,6,0.0,0.0,0.0,0.0
0106,7,0.0,0.0,0.0,0.0
0106,8,2.0,1.0,0.0,1.0
0106,9,19.0,14.0,2.0,11.666666666666666
0106,10,49.0,51.0,12.0,37.333333333333336
0106,11,72.0,75.0,9.0,52.0
0106,12,56.0,61.0,5.0,40.666666666666664
0106,13,58.0,75.0,6.0,46.333333333333336
0106,14,32.0,60.0,5.0,32.333333333333336
0106,15,29.0,14.0,3.0,15.333333333333334
0106,16,3.0,3.0,1.0,2.3333333333333335
0106,17,0.0,0.0,0.0,0.0
0106,18,0.0,0.0,0.0,0.0
0106,19,0.0,0.0,0.0,0.0
0106,20,0.0,0.0,0.0,0.0
0106,21,0.0,0.0,0.0,0.0
0106,22,0.0,0.0,0.0,0.0
0106,23,0.0,0.0,0.0,0.0
0106,24,0.0,0.0,0.0,0.0
0107,1,0.0,0.0,0.0,0.0
0107,2,0.0,0.0,0.0,0.0
0107,3,0.0,0.0,0.0,0.0
0107,4,0.0,0.0,0.0,0.0
0107,5,0.0,0.0,0.0,0.0
0107,6,0.0,0.0,0.0,0.0
