Day-Month,Hour,Average Day-ahead Price (EUR/MWh)
01-01,1,40.39666666666667
01-01,2,41.083333333333336
01-01,3,44.16
01-01,4,17.93
01-01,5,11.013333333333334
01-01,6,11.876666666666667
01-01,7,12.313333333333334
01-01,8,14.413333333333332
01-01,9,16.55333333333333
01-01,10,23.363333333333333
01-01,11,25.94666666666667
01-01,12,28.406666666666666
01-01,13,32.339999999999996
01-01,14,32.92333333333333
01-01,15,33.050000000000004
01-01,16,42.663333333333334
01-01,17,67.71333333333332
01-01,18,93.48666666666666
01-01,19,102.65666666666668
01-01,20,85.5
01-01,21,81.28333333333333
01-01,22,70.15333333333334
01-01,23,63.69
01-01,24,51.90333333333333
01-02,1,65.45666666666666
01-02,2,55.696666666666665
01-02,3,43.07666666666666
01-02,4,31.766666666666666
01-02,5,29.713333333333335
01-02,6,40.75333333333334
01-02,7,61.343333333333334
01-02,8,79.66666666666667
01-02,9,91.88999999999999
01-02,10,102.04333333333334
01-02,11,95.43333333333334
01-02,12,96.13666666666666
01-02,13,102.94000000000001
01-02,14,97.74000000000001
01-02,15,102.62
01-02,16,112.01
01-02,17,116.56666666666666
01-02,18,134.87
01-02,19,121.98
01-02,20,113.3
01-02,21,98.89999999999999
01-02,22,80.91
01-02,23,78.12666666666667
01-02,24,70.68333333333334
01-03,1,43.31
01-03,2,39.46
01-03,3,39.1
01-03,4,37.54666666666667
01-03,5,37.08
01-03,6,38.10666666666666
01-03,7,58.64666666666667
01-03,8,96.96333333333332
01-03,9,119.15666666666665
01-03,10,125.66000000000001
01-03,11,120.27
01-03,12,119.29333333333334
01-03,13,114.83333333333333
01-03,14,114.13
01-03,15,120.7
01-03,16,128.63
01-03,17,127.19
01-03,18,140.10333333333332
01-03,19,165.85
01-03,20,150.99666666666667
01-03,21,124.21666666666668
01-03,22,114.08666666666666
01-03,23,103.14
01-03,24,86.86666666666667
01-04,1,110.75666666666666
01-04,2,85.38333333333333
01-04,3,71.70666666666666
01-04,4,48.26333333333333
01-04,5,50.71
01-04,6,61.32
01-04,7,94.82000000000001
01-04,8,117.65999999999998
01-04,9,140.12666666666667
01-04,10,143.4
01-04,11,137.56
01-04,12,134.32666666666668
01-04,13,132.20333333333335
01-04,14,128.21
01-04,15,129.22
01-04,16,135.84666666666666
01-04,17,134.13
01-04,18,156.76333333333332
01-04,19,154.37
01-04,20,143.86
01-04,21,126.72333333333334
01-04,22,127.05
01-04,23,113.30666666666666
01-04,24,100.20333333333333
01-05,1,73.45333333333333
01-05,2,66.00666666666666
01-05,3,55.470000000000006
01-05,4,49.419999999999995
01-05,5,52.70000000000001
01-05,6,61.876666666666665
01-05,7,101.96999999999998
01-05,8,131.70333333333335
01-05,9,165.39333333333335
01-05,10,165.67999999999998
01-05,11,164.82
01-05,12,157.40666666666667
01-05,13,145.64000000000001
01-05,14,145.58333333333334
01-05,15,155.84333333333333
01-05,16,158.20333333333335
01-05,17,168.15333333333334
01-05,18,209.51
01-05,19,206.13
01-05,20,177.67
