Day-Month,Hour,Temperature
01-01,0,11.466666666666669
01-01,1,11.333333333333334
01-01,2,11.3
01-01,3,11.066666666666668
01-01,4,10.7
01-01,5,10.633333333333333
01-01,6,10.433333333333334
01-01,7,10.333333333333334
01-01,8,10.3
01-01,9,10.5
01-01,10,11.066666666666668
01-01,11,11.4
01-01,12,11.366666666666667
01-01,13,11.1
01-01,14,11.033333333333331
01-01,15,10.8
01-01,16,10.766666666666666
01-01,17,10.233333333333333
01-01,18,9.866666666666667
01-01,19,10.0
01-01,20,10.033333333333331
01-01,21,10.1
01-01,22,10.033333333333331
01-01,23,10.0
01-02,0,9.9
01-02,1,10.233333333333333
01-02,2,10.833333333333334
01-02,3,11.1
01-02,4,11.233333333333334
01-02,5,10.766666666666666
01-02,6,10.933333333333332
01-02,7,10.8
01-02,8,10.766666666666666
01-02,9,11.0
01-02,10,11.066666666666668
01-02,11,11.333333333333334
01-02,12,11.199999999999998
01-02,13,10.666666666666666
01-02,14,10.566666666666666
01-02,15,10.433333333333332
01-02,16,10.466666666666669
01-02,17,10.366666666666667
01-02,18,9.966666666666669
01-02,19,9.5
01-02,20,9.066666666666666
01-02,21,8.6
01-02,22,8.333333333333334
01-02,23,8.266666666666667
01-03,0,8.466666666666667
01-03,1,7.566666666666666
01-03,2,7.433333333333334
01-03,3,7.833333333333333
01-03,4,7.899999999999999
01-03,5,7.599999999999999
01-03,6,7.633333333333333
01-03,7,7.633333333333333
01-03,8,8.299999999999999
01-03,9,8.566666666666666
01-03,10,9.266666666666666
01-03,11,9.466666666666669
01-03,12,9.6
01-03,13,9.4
01-03,14,9.033333333333331
01-03,15,8.833333333333334
01-03,16,8.700000000000001
01-03,17,8.6
01-03,18,8.466666666666667
01-03,19,8.566666666666668
01-03,20,8.533333333333333
01-03,21,8.633333333333333
01-03,22,8.733333333333333
01-03,23,8.666666666666666
01-04,0,8.533333333333333
01-04,1,8.799999999999999
01-04,2,8.766666666666667
01-04,3,9.066666666666666
01-04,4,8.866666666666665
01-04,5,8.866666666666665
01-04,6,8.966666666666667
01-04,7,8.9
01-04,8,9.066666666666666
01-04,9,9.233333333333334
01-04,10,9.6
01-04,11,9.933333333333332
01-04,12,9.533333333333331
01-04,13,8.966666666666667
01-04,14,8.866666666666667
01-04,15,8.700000000000001
01-04,16,8.333333333333334
01-04,17,7.966666666666666
01-04,18,7.266666666666667
01-04,19,7.533333333333334
01-04,20,7.733333333333333
01-04,21,7.633333333333333
01-04,22,7.333333333333333
01-04,23,7.266666666666666
01-05,0,7.366666666666667
01-05,1,7.399999999999999
01-05,2,7.533333333333334
01-05,3,7.7
01-05,4,7.833333333333333
01-05,5,7.7
01-05,6,7.6
01-05,7,7.266666666666667
01-05,8,7.166666666666667
01-05,9,7.366666666666667
01-05,10,7.766666666666667
01-05,11,8.166666666666666
01-05,12,8.666666666666666
01-05,13,8.566666666666666
01-05,14,8.200000000000001
01-05,15,7.833333333333333
01-05,16,7.766666666666667
01-05,17,7.633333333333333
01-05,18,7.766666666666667
01-05,19,7.533333333333334
01-05,20,7.633333333333333
01-05,21,7.166666666666667
01-05,22,6.666666666666667
01-05,23,6.7
01-06,0,6.3
01-06,1,6.2
01-06,2,6.0
01-06,3,5.466666666666666
01-06,4,5.5
01-06,5,4.9
01-06,6,4.3
01-06,7,5.5
01-06,8,5.5
01-06,9,6.3
01-06,10,6.766666666666667
01-06,11,6.833333333333333
01-06,12,7.033333333333334
01-06,13,6.866666666666667
01-06,14,6.5
01-06,15,5.900000000000001
01-06,16,5.699999999999999
01-06,17,5.533333333333334
01-06,18,5.466666666666666
01-06,19,5.433333333333334
01-06,20,5.533333333333334
01-06,21,5.333333333333333
01-06,22,5.3
01-06,23,5.133333333333333
01-07,0,4.766666666666667
01-07,1,4.666666666666667
01-07,2,4.633333333333334
01-07,3,4.366666666666667
01-07,4,4.533333333333334
01-07,5,4.933333333333334
01-07,6,5.033333333333333
01-07,7,5.133333333333334
01-07,8,5.033333333333333
01-07,9,5.466666666666668
01-07,10,5.733333333333333
01-07,11,6.366666666666666
01-07,12,5.8
01-07,13,5.433333333333334
01-07,14,5.033333333333333
01-07,15,4.666666666666667
01-07,16,4.366666666666666
01-07,17,4.033333333333333
01-07,18,3.8
01-07,19,3.733333333333333
01-07,20,3.766666666666667
01-07,21,3.333333333333333
01-07,22,3.5
01-07,23,2.4333333333333336
01-08,0,2.233333333333333
01-08,1,1.5666666666666669
01-08,2,1.433333333333333
01-08,3,1.3333333333333333
01-08,4,2.1333333333333333
01-08,5,1.9666666666666663
01-08,6,2.3000000000000003
